,CIE_SA_Dedicated,CIE_SA_Flexible,CIE_SA_MSSA,CIE_SA_MSSA_Adaptive,CIE_SA_MSSA_Inner,Flexible_Dedicated,MSSA_Adaptive_Dedicated,MSSA_Adaptive_Flexible,MSSA_Dedicated,MSSA_Flexible,MSSA_Inner_Dedicated,MSSA_Inner_Flexible,MSSA_Inner_MSSA_Adaptive,MSSA_MSSA_Adaptive,MSSA_MSSA_Inner
77,-49.78787302479427,-3.869535739105088,-3.86953573925401,1.740450341766648e-08,-3.86953573925401,-44.207704365816014,-49.78787305086411,-3.869535757183065,-44.20770436560926,1.4337409265101764e-10,-44.20770436560926,1.4337409265101764e-10,3.725380814613723,3.725380814613723,0.0
78,-86.78595781498426,-55.68894596747587,0.0,-2.8230232356660365,0.0,-19.973808451375024,-81.65771822024598,-51.414480014503525,-86.78595781498426,-55.68894596747587,-86.78595781498426,-55.68894596747587,-2.8230232356660365,-2.8230232356660365,0.0
79,-17.984794368870073,-37.115145691301386,6.208742952388587e-13,-0.20854455350944162,0.0,13.952033691085482,-17.73925556404869,-36.829794607070184,-17.984794368870805,-37.11514569130224,-17.984794368870073,-37.115145691301386,-0.20854455350944162,-0.2085445535100638,-6.208742952388625e-13
80,-119.35844884692784,-5.296276205918828,0.5727140734764815,-4.555491618943125,-0.05327138250308132,-108.32498237444551,-109.80098266515634,-0.708508539824501,-120.62198198694988,-5.902796425251391,-119.24165578586809,-5.240213289350399,-4.49982311845465,-5.157744822894327,-0.6295912134644451
81,-139.9307306876684,-8.885544409456672,3.4096426755590374,1.2228590169738969,2.7753914834748667,-120.35131659481372,-142.90106830374665,-10.233545257366377,-148.4002930869756,-12.729207578885896,-146.7798372743128,-11.993811104880454,-1.5968513426691642,-2.2639771910563193,-0.6566402792711081
82,-65.17707089198163,-59.90371711287444,1.5008373834725493e-13,-0.14295567678969495,0.0,-3.297830641038057,-64.94127797175153,-59.6754519898154,-65.17707089198188,-59.90371711287468,-65.17707089198163,-59.90371711287444,-0.14295567678969495,-0.14295567678984525,-1.5008373834725516e-13
83,-76.05849655351419,-125.82125102992836,1.0950405484995174,-0.6972344391405876,1.0950405484995174,22.036346999875157,-74.83945565547826,-124.25764946544805,-78.00775363529377,-128.32146363768862,-78.00775363529377,-128.32146363768862,-1.8121184191162565,-1.8121184191162565,0.0
84,-261.23660182953046,-2.661714894736627,12.70661058604219,11.243855173246683,11.066320280574258,-251.87080422328958,-306.99897740561255,-15.667163208954321,-313.8189664242438,-17.605371476527285,-306.18650096249837,-15.436261288885223,0.19962616326292298,-1.6756771877179728,-1.8790544352556184
85,-53.626259644003966,-9.893744652423402,0.4729528207481828,0.4729528257511927,-0.46393224821537193,-39.7952723604966,-54.356292089164434,-10.415960055586606,-54.35629208140528,-10.415960050036235,-52.91682916057963,-9.386266487071074,0.9325586337311691,5.0267842071185335e-09,-0.9413371495651738
86,-157.5407193,-111.03905888963803,1.840567044830526,-0.3741515070480341,1.840567044830526,-22.034622716300017,-156.58071867428546,-110.25239637997774,-162.3698115876665,-114.99620824625379,-162.3698115876665,-114.99620824625379,-2.256246277308924,-2.256246277308924,0.0
