case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
Case: 0105,3968.96099996567,564015.321607304,32749.3337210315,11265.9878862722,500000,20000,"[[8, 15], [1, 5, 13, 18], [2, 4, 7, 9, 11, 12, 17], [3, 14, 16], [6, 10, 19, 20]]","[[2, 5], [4, 5, 2, 5], [3, 4, 2, 2, 2, 1, 1], [2, 2, 15], [7, 5, 2, 8]]","[[0.019010185897574715, 0.07847680962963606], [0.0717769880948471, 0.03396660543799532, 0.009528867678196879, 0.004752347799588137], [0.009549863016988446, 0.024052551480104038, 0.06006866521663401, 0.01006871058647231, 0.009561764003370386, 0.02918431284216137, 0.016255559193540076], [0.015083887789027278, 0.05638976128424353, 0.04150904464247196], [0.023727267566465832, 0.05082182231895756, 0.025558245647933395, 0.007043895198061622]]","[1, 1, 1, 1, 1]",-6915.01929712226,-1.21118441282486,5,5,1,4,20,79
Case: 0106,2840.02400016785,868423.933325083,33646.7930362541,9777.14028882858,800000,25000,"[[3, 4, 10], [1, 2, 5, 7, 8], [6, 9]]","[[4, 16, 12], [5, 1, 3, 3, 3], [10, 22]]","[[0.018357643270514524, 0.005077394680388439, 0.106372296624745], [0.043560876779327996, 0.04043279400280569, 0.0018457937135687023, 0.011645627658805146, 0.019706398981626568], [0.051836917150597024, 0.09831392798564771]]","[3, 2, 3]",-98601.6491381454,-10.1963847623333,3,8,2.66666666666667,3.125,31.25,79
Case: 0107,1481.49000000954,457354.062316446,30352.9218288412,9001.14048760477,400000,18000,"[[3, 4, 5, 9], [1, 2, 6, 7, 8, 10]]","[[6, 8, 9, 6], [10, 4, 6, 4, 3, 3]]","[[0.031565894966140304, 0.06999546129352582, 0.10564925006740106, 0.018166118999539613], [0.041790438916465195, 0.01616089637553509, 0.011541593485559597, 0.022166627177812946, 0.034354093239056666, 0.03304726322678601]]","[3, 1]",-24856.4693923429,-5.15469235071663,2,4,2,4.5,45,59
Case: 0108,7489.73000001907,982771.401128013,125810.151428962,32961.2496990511,800000,24000,"[[3], [11, 16], [15, 17], [4, 14, 18], [12, 13], [2, 6, 10, 19], [1, 5, 7, 8, 9, 20]]","[[12], [5, 11], [46, 7], [5, 15, 18], [19, 11], [11, 6, 7, 10], [5, 8, 2, 2, 12, 8]]","[[0.036510105299331595], [0.016452406639506, 0.06934452509352912], [0.05480161141191338, 0.03727788582185304], [0.028737564257574844, 0.03751981194680473, 0.09837655994812347], [0.05545231207215139, 0.05343437861901729], [0.082365107947155, 0.012586941962744333, 0.043840390106314825, 0.059114623821450406], [0.008714737888208864, 0.033781735841106, 0.010020229762781734, 0.014527881132660143, 0.08046771095179231, 0.05747521607172891]]","[1, 1, 1, 1, 1, 2, 1]",-127244.791681634,-11.4633275177324,7,8,1.14285714285714,3,15,220
Case: 0109,9593.87199997902,581078.685507322,45223.8144801604,12854.8710271617,500000,23000,"[[4, 8, 10, 11, 14, 18, 19], [1, 9, 15, 17], [2, 3, 5, 12, 13, 20], [6, 7, 16]]","[[2, 6, 1, 2, 7, 3, 2], [3, 13, 4, 4], [8, 7, 4, 6, 2, 4], [3, 62, 2]]","[[0.008400828617286978, 0.023101423404697743, 0.01412079084110371, 0.015165412639129322, 0.02902948192817443, 0.01138624007705502, 0.023731251760112697], [0.05336632794659732, 0.028704965947418483, 0.019387417567598965, 0.01972890217912717], [0.03606099694844362, 0.047944359886800514, 0.02342257130367994, 0.025977225854707298, 0.06248577350041241, 0.01723498349859797], [0.012552092572136405, 0.05899196709968557, 0.038774953323637604]]","[1, 1, 1, 2]",2263.13043316046,0.390993367977213,4,5,1.25,4.6,23,145
Case: 0110,1679.07400012016,1066834.73455113,38854.2758525431,8980.45869858547,1000000,19000,"[[5], [1, 2], [10], [6, 7, 9], [3, 4, 8]]","[[47], [11, 5], [20], [6, 10, 49], [6, 3, 1]]","[[0.025401951872010047], [0.022077990758316977, 0.029219113639171176], [0.021898828581725965], [0.012179056562629166, 0.025959257875061183, 0.03868115262856008], [0.05858066444048895, 0.0067508433106155865, 0.009038148799916056]]","[3, 1, 2, 3, 1]",58201.3335719606,5.77031590620135,5,10,2,1.9,19,158
Case: 0111,2023.24699997902,557748.785363647,30484.5005636809,9264.28479996569,500000,18000,"[[2, 4, 7, 10], [5, 9], [1, 3, 6, 8]]","[[9, 15, 11, 7], [13, 14], [8, 1, 2, 7]]","[[0.02695552671989761, 0.014196375977476097, 0.010797741093475512, 0.05115842097225224], [0.034061530767136944, 0.02536072399602569], [0.08253736936615515, 0.02943107632624803, 0.04234007950679951, 0.010807413608252811]]","[3, 1, 1]",8911.73113555962,1.62374808094791,3,5,1.66666666666667,3.6,36,87
Case: 0112,6894.15100002289,1062866.2249036,101533.052214689,27333.1726889158,900000,34000,"[[2, 8], [4, 7, 10, 12, 16], [9, 19], [3, 5, 6, 11], [13, 14, 17], [1, 15, 18, 20]]","[[4, 78], [29, 34, 10, 3, 2], [7, 26], [6, 1, 10, 6], [18, 14, 4], [6, 29, 4, 10]]","[[0.052612835053214, 0.23150742574762448], [0.05263554349182923, 0.08593569106963386, 0.061987534793012104, 0.017769523371282, 0.027389667105060578], [0.05932470595548444, 0.076143513192518], [0.033152317975676, 0.040319484982671176, 0.03641944035516632, 0.081868143035171], [0.0472650145310063, 0.12693517395155293, 0.036031613996498665], [0.08458801374294238, 0.05207283926195172, 0.024741905370537776, 0.04959278810578609]]","[1, 3, 1, 1, 1, 2]",-31601.2472078016,-2.88736285116246,6,9,1.5,3.77777777777778,18.8888888888889,301
Case: 0113,8616.36199998856,114388.642295997,22543.8477983223,7844.79449767471,60000,24000,"[[9, 16], [1, 4, 5, 13], [6, 7, 8, 11, 14, 17, 20], [2, 3, 19], [10, 12, 15, 18]]","[[4, 6], [2, 3, 2, 1], [2, 3, 1, 1, 1, 0, 2], [2, 2, 4], [4, 2, 3, 1]]","[[0.013890775149191223, 0.028363658992493594], [0.015492979507024301, 0.003218195555287274, 0.01823094231879161, 0.02921540967638193], [0.001456070854497338, 0.0019518745256197122, 0.013708928811862916, 0.0034752253472466327, 0.01065797221556801, 0.015922089966510067, 0.005494347772795013], [0.02129176509697734, 0.018348211849790054, 0.009178115876673339], [0.03200015231612109, 0.01669644357009388, 0.026814146803573503, 0.02485682984707636]]","[1, 1, 1, 1, 2]",1517.96231360571,1.34486858220622,5,6,1.2,4,20,46
Case: 0114,2791.03199982643,162934.57551491,34912.3083490536,10022.2671658561,100000,18000,"[[8, 10], [6], [5, 9], [2, 4], [1, 3], [7]]","[[7, 14], [6], [6, 2], [3, 3], [8, 9], [5]]","[[0.02337690341359242, 0.008200512465517104], [0.022642664932690383], [0.002854563724923937, 0.0071840677127026605], [0.024117229105015847, 0.03731966820814505], [0.04183766019773577, 0.06426799671869896], [0.01789640785387107]]","[3, 1, 1, 1, 3, 1]",-2509.89225941375,-1.51706025180449,6,10,1.66666666666667,1.8,18,63
