algorithm_type,case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock,Case  ID,n_sku,initial_servers,util_rate,cost_hmin,work_load_relation,cost_f,cost_ci
MSSA_Inner,Case: 0063,4192.0372800827,734517.420613821,26148.5832785627,8368.83733525826,500000,200000,"[[6, 10, 13, 14, 19], [3, 7, 8, 11], [1, 2, 5, 9, 15, 20], [4, 16], [12, 17, 18]]","[[4, 3, 3, 3, 6], [2, 3, 4, 3], [3, 1, 3, 1, 1, 3], [3, 36], [2, 3, 2]]","[[0.018798006087606227, 0.013142413382915889, 0.011128908806759747, 0.03105888850022106, 0.003919259166094577], [0.029813192012259866, 0.02294443197566357, 0.02843800078860263, 0.016852459106055186], [0.01924326745535094, 0.022530731446992316, 0.014002411700692365, 0.01072701353061614, 0.004804265987218657, 0.014031294155552092], [0.006973470017344245, 0.039135797489324], [0.01574509254682266, 0.038106009699016535, 0.020288014254651363]]","[1, 1, 1, 1, 1]",-75600.2640607206,-9.33201008827407,5,5,1,4,20,89,63,20,5,0.65,1,IND,100,0.1
MSSA_Inner,Case: 0064,3444.16622209549,80402.3779634047,13125.1045689114,3677.27339449326,60000,3600,"[[1, 2, 3, 4, 5, 8, 9, 10], [6, 7]]","[[2, 7, 4, 5, 9, 8, 5, 2], [11, 61]]","[[0.007938258818348299, 0.03853699899660294, 0.02117322358017447, 0.06068555664605865, 0.009021977769035728, 0.08123903347949739, 0.017986266953464836, 0.021004735890050967], [0.009311185458362884, 0.06689166749455808]]","[4, 2]",7968.99511365742,11.0018265061401,2,6,3,6,60,114,64,10,5,0.65,1,IND,10,0.01
MSSA_Inner,Case: 0065,296.604573011398,93985.1649233998,17411.2995343803,4573.86538901955,60000,12000,"[[4, 7, 10], [9], [3, 5], [6, 8], [1, 2]]","[[1, 2, 3], [3], [7, 4], [6, 3], [6, 5]]","[[0.001458018240274403, 0.02198040844862345, 0.01713410984922383], [0.018491803139548662], [0.013570566262424744, 0.029699866066756328], [0.005447817567260857, 0.03999347209314842], [0.005868691956833608, 0.033331854054336724]]","[1, 1, 2, 1, 1]",6545.22635763812,7.48539679349797,5,6,1.2,2,20,40,65,10,5,0.65,1,IND,10,0.1
MSSA_Inner,Case: 0066,5119.49449014664,168035.351027748,29157.7384237157,8877.61260403252,100000,30000,"[[2, 7, 8, 16, 19], [1, 3, 5, 9, 10, 13, 15], [4, 12, 17], [14], [6, 20], [11, 18]]","[[1, 2, 8, 2, 1], [1, 1, 1, 1, 2, 1, 2], [7, 2, 5], [35], [4, 5], [6, 3]]","[[0.008670130980997668, 0.02695968883267792, 0.03090094177633398, 0.011785064932098138, 0.006930214480377947], [0.01710248657426182, 0.004328905572131893, 0.0098731095422822, 0.0023161517030105706, 0.02051247772121541, 0.0031766429707826577, 0.0028528429454715036], [0.01480800362567914, 0.03641167505417724, 0.0019986002816350336], [0.039651418036573995], [0.03432547506195138, 0.02701945307990916], [0.03423204094992853, 0.04244084946371368]]","[2, 1, 1, 2, 2, 2]",-20735.3290348302,-10.9844013000092,6,10,1.66666666666667,3,15,90,66,20,10,0.65,1,IND,10,0.1
MSSA_Inner,Case: 0067,1070.0751209259,78561.3455605369,18024.0193859125,5537.32617462438,50000,5000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[4, 1, 4, 5, 4, 5, 5, 2, 3, 9]]","[[0.027858922607965596, 0.03620487632169197, 0.006146900360359076, 0.0733202375220481, 0.00743839314701288, 0.019195835915445644, 0.01349334833427904, 0.025647826856348907, 0.012460393218120773, 0.0075882717841650234]]",[5],1952.28650239609,2.54837551380764,1,5,5,10,100,42,67,10,5,0.8,1,IND,10,0.01
MSSA_Inner,Case: 0068,198285.419555187,162724.931827322,31415.875409205,11309.0564181172,100000,20000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[1, 3, 4, 18, 2, 8, 10, 3, 4, 27, 2, 4, 2, 8, 9, 4, 9, 19, 3, 6]]","[[0.009284142496291616, 0.021067095325234854, 0.04415251474532158, 0.0008278613736761917, 0.006057745174906295, 0.10812741763823017, 0.05497586556917834, 0.022115513019995876, 0.0323493435015851, 0.012311712265475418, 0.0029924977404274865, 0.011893656585731768, 0.06546284410312998, 0.04775030535948267, 0.10425169156216685, 0.01665817263450965, 0.15309706713370744, 0.020826102891140286, 0.047394055181438875, 0.0272349869666888]]",[10],10627.2476357341,6.9871199500629,1,10,10,20,100,146,68,20,10,0.8,1,IND,10,0.01
MSSA_Inner,Case: 0069,1601.03208303452,118760.129251995,21307.9904643871,7452.13878760767,70000,20000,"[[1, 2, 4, 6], [8, 9, 14, 15, 19, 20], [11, 16], [10, 17, 18], [5, 7], [13], [3, 12]]","[[6, 2, 2, 0], [1, 1, 0, 1, 1, 0], [3, 5], [2, 2, 1], [2, 4], [11], [3, 2]]","[[0.0044402199091574945, 0.008329052515980661, 0.007004893762219261, 0.011084106808690914], [0.009609074195011667, 0.0008455857518134827, 0.012859754640296206, 0.004648742767175627, 0.0012031184847179379, 0.000817951522932258], [0.010698195410766855, 0.01060877131440222], [0.008957442696372268, 0.013730290966143317, 0.026577624453193182], [0.012262914770664973, 0.025812195695286276], [0.01801128349865492], [0.027138274097271226, 0.019071624782386377]]","[1, 1, 1, 1, 1, 1, 1]",-6290.56227981711,-5.03040983041413,7,7,1,2.85714285714286,14.2857142857143,49,69,20,5,0.65,100,IND,10,0.1
MSSA_Inner,Case: 0070,1952.03224277496,162125.520336276,36918.5117508951,9207.00858538094,90000,26000,"[[8, 10], [3, 5, 6, 9], [1, 7], [2, 4]]","[[4, 10], [5, 5, 4, 12], [71, 52], [4, 6]]","[[0.02148272701792635, 0.04058599556359194], [0.024690037319374778, 0.03960362119711078, 0.035953836854044005, 0.033716761720258503], [0.38234909557088564, 0.540823611609533], [0.005968841028806007, 0.025435633357322338]]","[1, 4, 3, 1]",3844.90778124949,2.42917165860273,4,9,2.25,2.88888888888889,28.8888888888889,173,70,10,10,0.65,100,IND,10,0.1
MSSA_Inner,Case: 0071,8332.91833496094,97292.8943237359,18467.435750947,6825.4585727889,60000,12000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[3, 3, 3, 3, 2, 2, 1, 17, 4, 1, 1, 1, 4, 2, 2, 3, 4, 3, 3, 3]]","[[0.012821290978521893, 0.044290225267333054, 0.01306701052408683, 0.0021134720941047343, 0.016611376297137468, 0.01182899441297757, 0.02247767200161039, 0.035862872729009676, 0.018194872398333083, 0.03423663156021405, 0.0010386718373977268, 0.0011896804167820256, 0.011174695230395689, 0.017297900695266, 0.004632575056479491, 0.039173485808170525, 0.027171006319217407, 0.03203926176415373, 0.046970555450743315, 0.04655993454582441]]",[6],2545.82356909073,2.68696810235257,1,6,6,20,100,65,71,20,5,0.8,100,IND,10,0.01
MSSA_Inner,Case: 0072,58163.7815279961,144388.721882967,25856.4191051921,8532.30277777492,100000,10000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[18, 3, 11, 3, 5, 21, 3, 7, 14, 9]]","[[0.17892164012121084, 0.001834533695714296, 0.013888001537499388, 0.017677896388088074, 0.016968046792213413, 0.06515406285756138, 0.006254542295448374, 0.07720632109450687, 0.01160503215104604, 0.10905938981144087]]",[10],7064.51009355823,5.14440243384895,1,10,10,10,100,94,72,10,10,0.8,100,IND,10,0.01
