case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP
Case: 0001,352.2578911781311,608738.3853233173,58865.3783243878,19873.00699892947,400000.0,130000.0,"[[3, 4, 6, 7, 8, 10], [1, 2, 9], [5]]","[[3, 11, 7, 2, 6, 4], [18, 3, 2], [32]]","[[0.05799237191411139, 0.0004293528101896908, 0.03394010676118257, 0.007161668236272297, 0.002648967420938536, 0.038996358024794515], [0.195280197630468, 0.019126448465183517, 0.03844994047933667], [0.37940812078510394]]","[1, 2, 1]",3224.667769159889,0.5325507376092554
Case: 0002,6045.672471046448,81713.83010740054,17471.50254593293,6842.327561467618,50000.0,7400.0,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20], [17, 19]]","[[4, 3, 2, 9, 6, 1, 2, 3, 6, 4, 2, 10, 4, 2, 1, 3, 5, 1], [11, 5]]","[[0.058852923537637394, 0.009082673702658188, 0.035199413591414486, 0.002745931919130075, 0.03870349523527077, 0.0034191641099549737, 0.0030776165004327036, 0.014239475167797628, 0.022398614950338847, 0.023411671765689715, 0.0064426472566227275, 0.0017950113231046006, 0.016831666174517812, 0.0003819610388911749, 0.039862529860334554, 0.03727844540627705, 0.03489629181935203, 0.015476882072427789], [0.04975101814440689, 0.00032796100757299235]]","[4, 1]",4535.756283016875,5.877001145866699
Case: 0003,29601.569648981094,115573.59719637444,19795.45350422333,7778.143692151103,80000.0,8000.0,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[22, 14, 48, 19, 29, 16, 7, 5, 4, 3]]","[[0.008844606049262078, 0.000923630954127927, 0.08749692942078335, 0.2103308283746502, 0.09532566256227457, 0.23318866491287712, 0.07115569679285702, 0.008924571585507966, 0.05282121962967716, 0.03639149586095097]]",[8],3066.5835230522353,2.7256820912129385
Case: 0004,4003.379525899887,1221376.2756166712,47822.40042117272,13553.875195498402,900000.0,260000.0,"[[5, 7, 8, 12, 15], [2, 4, 9, 11], [1, 14, 16, 17, 19], [10, 18], [3, 13], [6, 20]]","[[2, 3, 4, 11, 4], [3, 4, 5, 9], [2, 2, 2, 3, 4], [5, 4], [8, 7], [13, 10]]","[[0.030563474178325126, 0.04018573228432928, 0.001487807169036501, 0.0005183187956434642, 0.005149102826492576], [0.018055858596388284, 0.03267707141817057, 0.040871047171143364, 0.010388280836941936], [0.009229141316247212, 0.022032284976128406, 0.04303101169359847, 0.011107132569636224, 0.022747948642091884], [0.0050505233650468915, 0.04908298306039392], [0.04432437689160049, 0.07461858607951828], [0.01591637222155981, 0.08184436357196072]]","[1, 1, 1, 1, 3, 2]",-318384.4862169486,-20.677529529834317
Case: 0005,659.0208768844604,97020.83611886679,15048.666981898434,5972.169136968373,60000.0,16000.0,"[[1, 2, 6, 10], [7], [4, 5], [3, 8, 9]]","[[3, 2, 3, 2], [24], [6, 6], [9, 1, 0]]","[[0.019744126211828958, 0.006423599868963203, 0.0730845274903817, 0.019361402767526237], [0.004543021175296415], [0.0519616187636201, 0.024991558385889723], [0.006132543741116263, 0.029173122335795325, 0.042391934081448666]]","[2, 1, 2, 1]",-1762.0989855018706,-1.7838090998613607
Case: 0006,5872.4488689899445,609200.7771311551,58202.38072839462,17998.396402760478,500000.0,33000.0,"[[6, 9], [1, 2, 3, 5, 10, 11, 12, 13, 14, 15, 16, 17, 19], [4, 20], [7, 8, 18]]","[[4, 10], [3, 4, 5, 1, 7, 1, 7, 7, 5, 2, 6, 6, 1], [14, 14], [2, 14, 10]]","[[0.06174100630347828, 0.016903614062045963], [0.00342534466659359, 0.01213297542444161, 0.0016997366564433219, 0.015867999400800723, 0.007096548306524949, 0.033347569569683995, 0.08422925395614027, 0.0009655485281781293, 0.02641843838992805, 0.00930317994349949, 0.035826379887010304, 0.032655616743339416, 0.00696081219144535], [0.18398708178870674, 0.06633894174899264], [0.025603764441091168, 0.05617498658131251, 0.05105051267112468]]","[1, 2, 1, 1]",23578.477345690364,4.026226008525979
Case: 0007,2695.706237077713,978989.4670986327,38165.680588941665,10823.786509690997,900000.0,30000.0,"[[1, 3, 5, 6, 9, 10], [4, 8], [2, 7]]","[[4, 1, 3, 4, 4, 8], [82, 114], [10, 18]]","[[0.01318537944039521, 0.017602483287763718, 0.032103681543764195, 0.037022165530128534, 0.06014794156365033, 0.02082427190513779], [0.08483465550397506, 0.0014359176103214688], [0.08793623497813689, 0.06818037953477646]]","[3, 5, 1]",-17692.7481028958,-1.7751644238297497
Case: 0008,3278.5967910289764,183646.64919495932,32226.154399114475,10420.49479584486,110000.0,31000.0,"[[1, 9, 11, 19], [5, 8], [10, 15, 17], [6, 7, 20], [2, 4, 16, 18], [13, 14], [3, 12]]","[[1, 14, 23, 5], [17, 5], [8, 6, 4], [4, 3, 3], [3, 3, 2, 4], [7, 5], [4, 14]]","[[0.0006342687898484396, 0.011854386801163273, 0.00861794930423399, 0.018814257071893527], [0.01490772397537101, 0.050507641699406115], [0.013810106822548386, 0.000538704465872915, 0.010234062239733513], [0.07941193151646643, 0.06332149810355359, 0.07570201284510236], [0.027155400075942585, 0.01591479095068628, 0.039162105277616585, 0.0071309979353070185], [0.023129312305866026, 0.03021239128397696], [0.005288710273602146, 0.046683259454205706]]","[2, 2, 1, 2, 1, 1, 2]",-939.2284338569152,-0.5088300610654569
Case: 0009,1049.6461560726166,68652.92943595955,12417.197736563669,3935.7316993958966,50000.0,2300.0,"[[1, 4, 5, 6, 7, 8, 9], [2, 3, 10]]","[[3, 2, 2, 3, 1, 5, 2], [625, 1185, 444]]","[[0.006582297508178274, 0.03792499535859727, 0.0009514546098718654, 0.008493523506140256, 0.004654507413242695, 0.017204713302274223, 0.028648533085541734], [0.7647892858737585, 1.528707842303238, 3.12276501120082]]","[2, 3]",1126.9169104081811,1.6688634027986824
Case: 0010,5743.184968948364,675347.7058221863,57652.5327571423,17695.173065044073,400000.0,200000.0,"[[2, 8, 9, 10, 12, 14, 15, 16, 18], [4, 5, 11, 20], [1, 3, 17], [6, 7, 13, 19]]","[[3, 4, 2, 2, 2, 5, 5, 6, 3], [11, 5, 10, 6], [12, 11, 3], [5, 18, 1, 2]]","[[0.008039623404359429, 0.018227205702375654, 0.018683591201582677, 0.04113028365459844, 0.02442890389160338, 0.02644776231618985, 0.015885781337286565, 0.038773466552564514, 0.007128813076324376], [0.03315814418838983, 0.01846424609394993, 0.03557421766985036, 0.0504562474714865], [0.025981078952338397, 0.07499328835674426, 0.06056654352965472], [0.04399732870065158, 0.02113161883400703, 0.03833426662584133, 0.04305101616047383]]","[1, 1, 1, 1]",-163055.93727488874,-19.44838129192256
Case: 0011,317.2148687839508,1042867.6366016334,87666.36571371517,25201.270887918243,800000.0,130000.0,"[[2], [3, 4], [8, 9], [6], [5, 10], [1, 7]]","[[13], [40, 16], [11, 16], [12], [12, 8], [4, 26]]","[[0.09992893618112757], [0.02253716916790852, 0.14400210167587188], [0.07359711242704944, 0.14328499533679995], [0.03543281274746326], [0.09458009332406396, 0.02399779033233492], [0.034171162727317995, 0.048091606570457524]]","[2, 2, 1, 1, 1, 1]",-73446.69032005966,-6.579391534156291
Case: 0012,412954.4061291218,141767.07633081387,32603.01394548147,9964.062385332378,90000.0,9200.0,"[[13, 14], [2, 3, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20], [1, 4, 7, 19]]","[[9, 3], [6, 4, 10, 2, 6, 4, 3, 9, 7, 18, 2, 5, 4, 6], [2, 4, 3, 6]]","[[0.05737637518878916, 0.012920397388968628], [0.02117475176375375, 0.050027267148093496, 0.03852896509686723, 0.007898431208462077, 0.013945519850283208, 0.028082786556398443, 0.009954742173105243, 0.09084050625338047, 0.04667939856511569, 0.1418433586260194, 0.0032744033058252605, 0.021778618021239846, 0.011600983420766603, 0.020851119332121193], [0.005422331510912304, 0.03061806578725821, 0.007455854950469587, 0.008215473938443529]]","[2, 6, 1]",1804.6009661043354,1.2893462775661595
Case: 0013,556.6570091247559,611169.01251547,70262.91891785504,24906.093597615007,500000.0,16000.0,"[[2, 3, 6, 7, 8, 10], [4, 5, 9], [1]]","[[3, 6, 6, 4, 7, 7], [11, 47, 3], [11]]","[[0.012709358628644606, 0.06112804317518035, 0.005623689339989139, 0.019450837900999666, 0.03206011935841371, 0.05114088728861935], [0.0891805871604793, 0.455793725414848, 0.004431413061016518], [0.05007154909759332]]","[1, 3, 1]",13076.107959118322,2.186300465948147
Case: 0014,3608.853518009186,131973.2963434909,29592.406991980726,8380.889351510168,70000.0,24000.0,"[[1, 3, 10, 11, 17], [9, 14, 18], [12, 13, 15, 19, 20], [8], [4, 5, 6, 16], [2, 7]]","[[3, 2, 2, 1, 1], [3, 2, 2], [7, 3, 3, 2, 1], [5], [3, 3, 3, 4], [3, 5]]","[[0.01900427758853262, 0.01140284838175887, 0.013525802908065073, 0.012167031135647764, 0.01221579155625567], [0.026218342059420186, 0.010840637930360593, 0.019112569891249695], [0.009112023764419067, 0.0053458742641885985, 0.01763037453184471, 0.018982163868674427, 0.0017235303005360594], [0.037279657811420154], [0.03807637433420194, 0.018620583033878948, 0.016062407982958986, 0.025572246291432666], [0.006515551713184097, 0.01775493405742954]]","[1, 1, 1, 1, 2, 1]",-13889.502232241968,-9.522306145134364
Case: 0015,73016.1696779728,181559.05873160192,30918.492334950537,7640.566396651384,120000.0,23000.0,"[[2, 8], [5], [4, 7], [1, 3, 6], [9, 10]]","[[6, 12], [30], [5, 4], [2, 0, 2], [41, 19]]","[[0.01797571271600482, 0.0531674530144693], [0.01948086855855551], [0.019234468713616008, 0.020982532672648668], [0.019409809413959284, 0.009554737461278644, 0.005222060489981202], [0.21858461786868855, 0.1468398546198492]]","[4, 2, 2, 1, 3]",4433.348525528039,2.50293902583094
Case: 0016,33890.27834701538,1120740.8086357112,63986.50820565363,18754.300430057592,1000000.0,38000.0,"[[13, 17], [1, 5, 10, 14, 16, 18, 19], [4, 7, 8, 20], [3, 11, 15], [2, 6, 9, 12]]","[[10, 22], [2, 5, 4, 2, 2, 2, 1], [4, 5, 5, 8], [20, 7, 6], [21, 6, 4, 6]]","[[0.012107023356388098, 0.0856829377323721], [0.003780965568453973, 0.05996626571123586, 0.01411350686091447, 0.006763019807291314, 0.025124484085103094, 0.03491332509064685, 0.00725474736442959], [0.012866202820213559, 0.00652281318887972, 0.050051616891630415, 0.03844050693567578], [0.021091994693694206, 0.04826997605141475, 0.04473274164454335], [0.038401960831549606, 0.04298481195385948, 0.04150087858031355, 0.054239379708232144]]","[1, 1, 2, 3, 3]",-27520.39465485839,-2.396701602039088
Case: 0017,759.0740139484406,445857.19381103764,19167.59558835231,4689.59822268533,400000.0,22000.0,"[[1, 3, 4, 6, 7, 8], [2, 5, 9, 10]]","[[5, 20, 8, 31, 3, 12], [1, 2, 4, 2]]","[[0.012960552766164427, 0.04280739377323405, 0.010316937321328441, 0.03275047880991333, 0.0102377181507439, 0.03062937205980741], [0.016634748063649625, 0.009111263954361213, 0.012000770082341707, 0.02870518710764583]]","[3, 1]",-11621.674620423175,-2.540374085533161
