case_id,running_time,total_cost,holding_cost,penalty_cost,machine_cost,skill_cost,best_cluster,bestS,bestEBO,bestServerAssignment,GAP,GAPoolingPercentGAP,num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
Case: 0011,317.214868783951,1042867.63660163,87666.3657137152,25201.2708879182,800000,130000,"[[2], [3, 4], [8, 9], [6], [5, 10], [1, 7]]","[[13], [40, 16], [11, 16], [12], [12, 8], [4, 26]]","[[0.09992893618112757], [0.02253716916790852, 0.14400210167587188], [0.07359711242704944, 0.14328499533679995], [0.03543281274746326], [0.09458009332406396, 0.02399779033233492], [0.034171162727317995, 0.048091606570457524]]","[2, 2, 1, 1, 1, 1]",-73446.6903200597,-6.57939153415629,6,8,1.33333333333333,1.625,16.25,158
Case: 0012,412954.406129122,141767.076330814,32603.0139454815,9964.06238533238,90000,9200,"[[13, 14], [2, 3, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20], [1, 4, 7, 19]]","[[9, 3], [6, 4, 10, 2, 6, 4, 3, 9, 7, 18, 2, 5, 4, 6], [2, 4, 3, 6]]","[[0.05737637518878916, 0.012920397388968628], [0.02117475176375375, 0.050027267148093496, 0.03852896509686723, 0.007898431208462077, 0.013945519850283208, 0.028082786556398443, 0.009954742173105243, 0.09084050625338047, 0.04667939856511569, 0.1418433586260194, 0.0032744033058252605, 0.021778618021239846, 0.011600983420766603, 0.020851119332121193], [0.005422331510912304, 0.03061806578725821, 0.007455854950469587, 0.008215473938443529]]","[2, 6, 1]",1804.60096610434,1.28934627756616,3,9,3,10.2222222222222,51.1111111111111,113
Case: 0013,556.657009124756,611169.01251547,70262.918917855,24906.093597615,500000,16000,"[[2, 3, 6, 7, 8, 10], [4, 5, 9], [1]]","[[3, 6, 6, 4, 7, 7], [11, 47, 3], [11]]","[[0.012709358628644606, 0.06112804317518035, 0.005623689339989139, 0.019450837900999666, 0.03206011935841371, 0.05114088728861935], [0.0891805871604793, 0.455793725414848, 0.004431413061016518], [0.05007154909759332]]","[1, 3, 1]",13076.1079591183,2.18630046594815,3,5,1.66666666666667,3.2,32,105
Case: 0014,3608.85351800919,131973.296343491,29592.4069919807,8380.88935151017,70000,24000,"[[1, 3, 10, 11, 17], [9, 14, 18], [12, 13, 15, 19, 20], [8], [4, 5, 6, 16], [2, 7]]","[[3, 2, 2, 1, 1], [3, 2, 2], [7, 3, 3, 2, 1], [5], [3, 3, 3, 4], [3, 5]]","[[0.01900427758853262, 0.01140284838175887, 0.013525802908065073, 0.012167031135647764, 0.01221579155625567], [0.026218342059420186, 0.010840637930360593, 0.019112569891249695], [0.009112023764419067, 0.0053458742641885985, 0.01763037453184471, 0.018982163868674427, 0.0017235303005360594], [0.037279657811420154], [0.03807637433420194, 0.018620583033878948, 0.016062407982958986, 0.025572246291432666], [0.006515551713184097, 0.01775493405742954]]","[1, 1, 1, 1, 2, 1]",-13889.502232242,-9.52230614513436,6,7,1.16666666666667,3.42857142857143,17.1428571428571,58
Case: 0015,73016.1696779728,181559.058731602,30918.4923349505,7640.56639665138,120000,23000,"[[2, 8], [5], [4, 7], [1, 3, 6], [9, 10]]","[[6, 12], [30], [5, 4], [2, 0, 2], [41, 19]]","[[0.01797571271600482, 0.0531674530144693], [0.01948086855855551], [0.019234468713616008, 0.020982532672648668], [0.019409809413959284, 0.009554737461278644, 0.005222060489981202], [0.21858461786868855, 0.1468398546198492]]","[4, 2, 2, 1, 3]",4433.34852552804,2.50293902583094,5,12,2.4,1.91666666666667,19.1666666666667,121
Case: 0016,33890.2783470154,1120740.80863571,63986.5082056536,18754.3004300576,1000000,38000,"[[13, 17], [1, 5, 10, 14, 16, 18, 19], [4, 7, 8, 20], [3, 11, 15], [2, 6, 9, 12]]","[[10, 22], [2, 5, 4, 2, 2, 2, 1], [4, 5, 5, 8], [20, 7, 6], [21, 6, 4, 6]]","[[0.012107023356388098, 0.0856829377323721], [0.003780965568453973, 0.05996626571123586, 0.01411350686091447, 0.006763019807291314, 0.025124484085103094, 0.03491332509064685, 0.00725474736442959], [0.012866202820213559, 0.00652281318887972, 0.050051616891630415, 0.03844050693567578], [0.021091994693694206, 0.04826997605141475, 0.04473274164454335], [0.038401960831549606, 0.04298481195385948, 0.04150087858031355, 0.054239379708232144]]","[1, 1, 2, 3, 3]",-27520.3946548584,-2.39670160203909,5,10,2,3.8,19,142
Case: 0017,759.074013948441,445857.193811038,19167.5955883523,4689.59822268533,400000,22000,"[[1, 3, 4, 6, 7, 8], [2, 5, 9, 10]]","[[5, 20, 8, 31, 3, 12], [1, 2, 4, 2]]","[[0.012960552766164427, 0.04280739377323405, 0.010316937321328441, 0.03275047880991333, 0.0102377181507439, 0.03062937205980741], [0.016634748063649625, 0.009111263954361213, 0.012000770082341707, 0.02870518710764583]]","[3, 1]",-11621.6746204232,-2.54037408553316,2,4,2,5.5,55,88
Case: 0018,3942.22258591652,89499.0794759184,13219.5377721446,6279.54170377376,50000,20000,"[[3, 14], [4, 12, 16], [2, 6, 8, 13, 18, 20], [1, 7, 10, 17, 19], [5, 9, 11, 15]]","[[8, 10], [2, 3, 4], [3, 0, 1, 2, 3, 1], [0, 2, 2, 4, 3], [8, 2, 3, 2]]","[[0.015530185426258196, 0.013545880916099188], [0.02572631113097103, 0.018276123615701394, 0.017217042766623357], [0.017600051775234018, 0.05571293836951524, 0.03374306202431672, 0.02943617955818965, 0.02253966683985009, 0.022443577426705177], [0.05789892218426735, 0.03240166251776391, 0.01116414996067497, 0.015037949629268098, 0.011722513410141692], [0.018789558880938823, 0.01222857592481584, 0.013758817590657255, 0.014601118419027314]]","[1, 1, 1, 1, 1]",-11850.6890246625,-11.6928624504896,5,5,1,4,20,63
Case: 0019,1294.71312904358,142770.271565723,18094.2524952379,4676.01907048537,100000,20000,"[[6, 8, 9], [2, 3, 7], [1, 4], [10], [5]]","[[5, 11, 9], [1, 1, 1], [7, 9], [5], [17]]","[[0.013337477586991393, 0.013279668402544352, 0.029024427702425814], [0.002575972830080878, 0.01855785254949012, 0.013074316792964401], [0.008083559350529783, 0.03039738489669596], [0.020576348527152233], [0.01690753333317746]]","[3, 1, 2, 1, 3]",-9781.11009171233,-6.4116824019834,5,10,2,2,20,66
Case: 0020,3326.23114800453,878770.24144917,87006.6781143777,24763.5633347925,700000,67000,"[[1, 4, 9, 10, 12, 14, 15, 17, 18, 19, 20], [2, 3, 5, 6, 7, 8, 11, 13, 16]]","[[7, 2, 10, 3, 4, 2, 7, 10, 8, 2, 7], [7, 61, 9, 40, 8, 28, 3, 30, 13]]","[[0.0733055435996929, 0.01020793096830967, 0.08345720053989254, 0.04129108396910755, 0.04633035641982079, 0.04716751241800981, 0.05319027808302532, 0.045525844003765206, 0.01778381650722457, 0.0315285637056908, 0.07528058605459628], [0.01783613030356612, 0.06458997575469602, 0.04576661122113456, 0.1216024400899915, 0.017304151037004917, 0.073764673534578, 0.01884799016798377, 0.07618079001276507, 0.0430359111020387]]","[2, 5]",-119388.775330959,-11.9608973444016,2,7,3.5,9.57142857142857,47.8571428571429,261
